Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
SEN,ESP,,,,,,,,,,,,,,,,,,,1,1,,2,2,3,4,4,3,3,3,3,2,2,2,2,2
CHN,PER,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,2,2,2,2,2,2
CHL,MOZ,,,,,,,,,300,250,190,140,130,130,130,160,160,140,,,,,,,,,,,,,,,,,
ECU,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,100,98,91,73,160,154,127
SRB,ISR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IRQ,HUN,,,,,,,,,,,,,,,,,,,11,17,,,,,,201,258,700,938,1294,1252,1235,1272,1243,1166
URY,ARG,570,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,
SYR,USA,,,,,,,,,,,,,,252,239,257,205,154,757,1760,,2703,2737,2165,1178,560,297,291,182,197,150,423,344,320,341
TJK,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,248,190,152,98,125,129,129
TUR,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
TGO,ITA,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,4,,,1,1,,13,37,68,136,228,483,959,1236,1387,1483
HUN,COL,,,,,,,,,,,,,,,,,,,55,55,,30,30,30,30,30,29,28,28,23,10,10,10,9,7
BDI,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
MOZ,MWI,,,,,,,,,,,,100000,401640,628133,822503,926725,981812,1058492,713406,88939,,,,,,,,,,,,,,,
NGA,NLD,,,,,,,,,,,,,,,,,,40,40,46,,69,81,94,,126,127,117,129,141,165,193,202,202,205
SOM,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
RWA,ROU,,,,,,,,,,,,,,,,,,,,,,6,6,13,14,13,14,14,,10,10,8,8,5,4
TCD,GRC,,,,,,,,,,,,,,,,,,,5,6,,,,,,,6,4,4,3,3,3,2,2,0
BGR,AUT,,,,,,,,,,,,,,,,,,,,,,,,172,117,62,22,4,5,5,8,8,5,5,5
MAR,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
TJK,AFG,,,,,,,,,,,,,,,,,,60000,32100,19124,19600,18769,,,,,,,,,,,,,
GIN,ITA,,,,,,,,,,,,,,,,,,,,1,,1,2,2,,2,2,2,2,4,4,37,184,329,473
UGA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,365,354,363,173,178,183,260
JOR,CHE,,,,,,,,,,,,,,,,,,,,,,,,1,4,17,24,24,25,12,14,23,20,25,16
COG,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,6,8,9,9,8
CAN,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
IRQ,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,7,7,7,1,6,6,6
BIH,CHE,,,,,,,,,,,,,,,,,,,,,,5144,10410,5854,7287,7964,8043,7654,6945,6553,6165,5548,4900,4314,3792
PER,BRA,,,,,,,,,,,,,,,,,,,,38,35,37,43,38,37,39,40,40,39,39,41,38,40,40,40
MWI,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,4,4,4,4
SLE,POL,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,5,5,5,5,5,5
AGO,MWI,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CIV,SWE,,,,,,,,,,,,,,,,1,10,20,23,29,,30,30,34,,33,25,18,17,13,26,37,33,37,40
