Code,Name,Lat,Lon
ROU,Romania,45.645985,25.17443
SDN,Sudan,13.197363,30.439371
LVA,Latvia,56.851106,24.580203
KWT,Kuwait,29.356321,47.687397
PRI,Puerto Rico,18.215092,-66.344216
AGO,Angola,-11.553455,17.442383
GRC,Greece,38.481022,23.758809
AUS,Australia,-25.457025,135.343151
AZE,Azerbaijan,40.217768,47.780519
MLI,Mali,16.515929,-4.506424
LBY,Libyan Arab Jamahiriya,27.224538,18.02617
GBR,United Kingdom,52.597352,-1.534873
YEM,Yemen,15.563412,47.950477
AUT,Austria,47.559579,13.460688
RUS,Russian Federation,62.844319,90.124708
NER,Niger,16.750195,8.214956
DNK,Denmark,55.890028,10.392256
BEN,Benin,9.398571,2.331568
IND,India,22.606858,79.627816
ESP,Spain,38.632397,-5.0852
RWA,Rwanda,-2.032464,29.893166
EGY,Egypt,27.185703,30.479459
DMA,Dominica,15.426026,-61.359058
SVK,Slovakia,48.724856,19.669794
KAZ,Kazakhstan,48.286181,66.197373
TTO,Trinidad and Tobago,10.563222,-61.241299
BMU,Bermuda,32.31284,-64.744856
CZE,Czech Rep.,49.811836,15.49225
UZB,Uzbekistan,41.447353,64.79929
SWZ,Swaziland,-26.574906,31.520087
JAM,Jamaica,18.126146,-77.290223
GTM,Guatemala,15.852383,-90.272178
MRT,Mauritania,20.452525,-10.808026
SLB,Solomon Islands,-8.910545,159.537743
BRN,Brunei Darussalam,4.581283,114.819152
LIE,Liechtenstein,47.147629,9.547895
PYF,French Polynesia,-14.220586,-145.715872
SRB,Serbia,44.092352,20.720026
TUR,Turkey,39.136216,33.36457
BGD,Bangladesh,23.784454,89.963937
MUS,Mauritius,-20.163688,58.765571
COK,Cook Islands,-20.185403,-159.250086
PAK,Pakistan,29.656567,68.682852
USA,United States,40.252636,-100.999161
LCA,Saint Lucia,13.903085,-60.9659
SAU,Saudi Arabia,23.996171,44.504129
THA,Thailand,15.502027,101.199542
WSM,Samoa,-13.780031,-172.115116
KGZ,Kyrgyzstan,41.22812,73.842561
JOR,Jordan,31.384543,36.995909
POL,Poland,52.096874,19.183304
URY,Uruguay,-32.721374,-56.024798
*ST,Stateless,-60,10
PRY,Paraguay,-23.520255,-58.175581
STP,Sao Tome and Principe,0.650952,6.848193
KIR,Kiribati,1.843581,-142.355756
GIN,Guinea,10.273416,-11.031226
CPV,Cape Verde,16.067023,-23.958685
ZAF,South Africa,-28.695832,25.029527
COG,Congo,-0.924188,14.768154
NAM,Namibia,-21.547573,18.124303
NOR,Norway,61.518479,9.50363
BHS,Bahamas,24.367406,-76.261706
PRT,Portugal,39.638365,-7.970937
MYS,Malaysia,3.948639,110.52886
NLD,Netherlands,52.160556,5.208745
HUN,Hungary,47.260378,19.359526
CAN,Canada,58.622302,-102.046052
*PA,Occupied Palestinian Territory,31.92157,35.20329
MNE,Montenegro,42.751687,19.296053
ISR,Israel,31.545732,35.035337
BRA,Brazil,-9.872666,-53.169127
BDI,Burundi,-3.241797,29.899848
VEN,Venezuela (Bolivarian Republic of),7.80464,-65.891969
JPN,Japan,35.992619,137.776432
SLE,Sierra Leone,8.423922,-11.939061
NRU,Nauru,-0.528315,166.923192
COD,Dem. Rep. of the Congo,-4.015587,23.376716
BWA,Botswana,-22.285449,23.925844
BLR,Belarus,53.460297,27.984375
LTU,Lithuania,55.294758,23.833139
CUB,Cuba,21.721155,-79.477337
SEN,Senegal,13.848381,-14.866348
